Success,X - failure,Y - failure,Z - failure,Notes,Grasp,Opening,handle_x,handle_y,handle_z,handle_bb_min_x,handle_bb_min_y,handle_bb_min_z,handle_bb_max_x,handle_bb_max_y,handle_bb_max_z,grasp_x,grasp_y,grasp_z,grasp_rotation_x,grasp_rotation_y,grasp_rotation_z,label
0.0000,,X,,y - failure,,,0.8419,0.1211,0.6625,0.8103,-0.0743,0.6420,0.8734,0.3165,0.6830,0.7286,-0.0084,0.6694,0.0000,0.0000,3.1416,0.0000
0.0000,X,,,x - failure,,,0.8480,0.1058,0.6615,0.8173,-0.0862,0.6409,0.8786,0.2979,0.6822,0.7033,0.1004,0.6492,0.0000,0.0000,3.1416,0.0000
1.0000,,,,Slipped,X,O,0.8382,0.1378,0.6636,0.7975,-0.0521,0.6418,0.8789,0.3277,0.6854,0.7034,0.0245,0.6515,0.0000,0.0000,3.1416,1.0000
1.0000,,,,Drawer opened!,X,X,0.8506,0.0830,0.6663,0.8327,-0.1079,0.6422,0.8684,0.2740,0.6905,0.7172,0.1331,0.6568,0.0000,0.0000,3.1416,1.0000
0.0000,,X,,y - failure,,,0.8508,0.1000,0.6633,0.8205,-0.0892,0.6395,0.8812,0.2893,0.6872,0.7150,0.2690,0.6757,0.0000,0.0000,3.1416,0.0000
1.0000,,,,Slipped,X,O,0.8483,0.1006,0.6640,0.8325,-0.0944,0.6442,0.8640,0.2956,0.6838,0.7087,0.0867,0.6537,0.0000,0.0000,3.1416,1.0000
0.0000,X,,,x - failure,,,0.8466,0.0924,0.6637,0.8204,-0.1010,0.6416,0.8728,0.2858,0.6859,0.7269,0.1680,0.6526,0.0000,0.0000,3.1416,0.0000
0.0000,X,,,x - failure,,,0.8549,0.0524,0.6622,0.8240,-0.1365,0.6372,0.8859,0.2413,0.6873,0.7527,0.0899,0.6870,0.0000,0.0000,3.1416,0.0000
1.0000,,,,Drawer opened!,X,X,0.8475,0.0865,0.6627,0.8175,-0.1046,0.6413,0.8775,0.2775,0.6840,0.7246,0.0452,0.6827,0.0000,0.0000,3.1416,1.0000
0.0000,X,,,x - failure,,,0.8443,0.0648,0.6630,0.8161,-0.1331,0.6408,0.8724,0.2627,0.6852,0.7344,0.1920,0.6684,0.0000,0.0000,3.1416,0.0000
1.0000,,,,Drawer opened!,X,O,0.8394,0.1183,0.6650,0.7804,-0.0768,0.6341,0.8985,0.3133,0.6959,0.7107,0.0448,0.6448,0.0000,0.0000,3.1416,1.0000
0.0000,X,,,x - failure,,,0.8432,0.0912,0.6640,0.8173,-0.1037,0.6425,0.8691,0.2862,0.6855,0.7331,-0.0043,0.6820,0.0000,0.0000,3.1416,0.0000
0.0000,X,,,x - failure,,,0.8485,0.1076,0.6622,0.8179,-0.0844,0.6406,0.8791,0.2995,0.6837,0.7393,0.1417,0.6417,0.0000,0.0000,3.1416,0.0000
1.0000,,,,,X,X,0.8488,0.1019,0.6638,0.8215,-0.0881,0.6404,0.8761,0.2919,0.6872,0.7278,0.0183,0.6519,0.0000,0.0000,3.1416,1.0000
0.0000,X,,,x - failure,,,0.8579,0.0970,0.6621,0.8280,-0.0939,0.6383,0.8878,0.2879,0.6860,0.7475,0.0748,0.6667,0.0000,0.0000,3.1416,0.0000
0.0000,,X,,y - failure,,,0.8450,0.1046,0.6624,0.8134,-0.0875,0.6412,0.8767,0.2967,0.6837,0.6967,0.2628,0.6448,0.0000,0.0000,3.1416,0.0000
1.0000,,,,,X,X,0.8498,0.1127,0.6626,0.8198,-0.0776,0.6392,0.8799,0.3031,0.6859,0.7049,0.1574,0.6667,0.0000,0.0000,3.1416,1.0000
