Success,handle_x,handle_y,handle_z,handle_bb_min_x,handle_bb_min_y,handle_bb_min_z,handle_bb_max_x,handle_bb_max_y,handle_bb_max_z,grasp_x,grasp_y,grasp_z,grasp_rotation_x,grasp_rotation_y,grasp_rotation_z,label
0.0000,0.8611,0.1314,0.6224,0.8332,0.0933,0.4196,0.8890,0.1695,0.8252,0.7445,0.1113,0.4338,0.0000,0.0000,3.1416,0.0000
1.0000,0.8482,0.0826,0.6168,0.8144,0.0495,0.4175,0.8820,0.1156,0.8160,0.7125,0.0606,0.6246,0.0000,0.0000,3.1416,1.0000
0.0000,0.8319,0.0958,0.6191,0.7988,0.0598,0.4139,0.8650,0.1317,0.8243,0.6866,0.0609,0.4706,0.0000,0.0000,3.1416,0.0000
0.0000,0.8505,0.0369,0.6193,0.8223,0.0009,0.4162,0.8787,0.0730,0.8224,0.7207,0.0115,0.6104,0.0000,0.0000,3.1416,0.0000
1.0000,0.8456,0.1030,0.6169,0.8149,0.0655,0.4158,0.8762,0.1405,0.8181,0.7193,0.0843,0.5337,0.0000,0.0000,3.1416,1.0000
0.0000,0.8480,0.1032,0.6170,0.8193,0.0656,0.4140,0.8767,0.1408,0.8200,0.7053,0.1026,0.4209,0.0000,0.0000,3.1416,0.0000
0.0000,0.8487,0.1299,0.6215,0.8159,0.0920,0.4191,0.8814,0.1678,0.8240,0.7014,0.1665,0.7037,0.0000,0.0000,3.1416,0.0000
0.0000,0.8679,0.0646,0.6232,0.8369,0.0290,0.4197,0.8989,0.1002,0.8268,0.7411,0.0532,0.5493,0.0000,0.0000,3.1416,0.0000
0.0000,0.8403,0.0923,0.6166,0.8133,0.0572,0.4161,0.8673,0.1273,0.8171,0.7227,0.1245,0.7981,0.0000,0.0000,3.1416,0.0000
0.0000,0.8364,0.1462,0.6217,0.8071,0.1085,0.4257,0.8656,0.1840,0.8176,0.6943,0.1323,0.5475,0.0000,0.0000,3.1416,0.0000
0.0000,0.8494,0.0913,0.6173,0.8121,0.0560,0.4131,0.8867,0.1266,0.8215,0.7384,0.0609,0.4574,0.0000,0.0000,3.1416,0.0000
1.0000,0.8452,0.0274,0.6181,0.8112,-0.0075,0.4161,0.8791,0.0622,0.8201,0.7211,0.0514,0.7799,0.0000,0.0000,3.1416,1.0000
0.0000,0.8392,0.1075,0.6181,0.8113,0.0702,0.4204,0.8671,0.1447,0.8158,0.7140,0.0766,0.4354,0.0000,0.0000,3.1416,0.0000
0.0000,0.8384,0.1211,0.6163,0.8089,0.0848,0.4143,0.8679,0.1574,0.8183,0.7121,0.1023,0.5932,0.0000,0.0000,3.1416,1.0000
0.0000,0.8124,0.1008,0.6149,0.7820,0.0636,0.4139,0.8428,0.1379,0.8158,0.7113,0.1140,0.4499,0.0000,0.0000,3.1416,0.0000
0.0000,0.8449,0.1277,0.6217,0.8151,0.0899,0.4196,0.8747,0.1655,0.8238,0.7335,0.1366,0.4237,0.0000,0.0000,3.1416,0.0000
0.0000,0.8434,0.0556,0.6181,0.8148,0.0218,0.4130,0.8721,0.0895,0.8232,0.7197,0.0572,0.4476,0.0000,0.0000,3.1416,0.0000
0.0000,0.8347,0.1198,0.6170,0.8062,0.0844,0.4143,0.8632,0.1553,0.8197,0.7314,0.1361,0.7060,0.0000,0.0000,3.1416,0.0000
1.0000,0.8301,0.1100,0.6181,0.8033,0.0747,0.4208,0.8570,0.1453,0.8155,0.7092,0.1133,0.6402,0.0000,0.0000,3.1416,1.0000
0.0000,0.8086,0.0558,0.6136,0.7817,0.0214,0.4101,0.8355,0.0902,0.8171,0.7002,0.0219,0.6247,0.0000,0.0000,3.1416,0.0000
0.0000,0.8585,0.1251,0.6190,0.8308,0.0878,0.4136,0.8862,0.1623,0.8243,0.7250,0.1529,0.6410,0.0000,0.0000,3.1416,0.0000
0.0000,0.8653,0.0908,0.6183,0.8325,0.0551,0.4148,0.8981,0.1265,0.8217,0.7390,0.1186,0.7649,0.0000,0.0000,3.1416,0.0000
0.0000,0.8463,0.0549,0.6115,0.8170,0.0217,0.4059,0.8757,0.0881,0.8171,0.7222,0.0404,0.4653,0.0000,0.0000,3.1416,0.0000
0.0000,0.8437,0.1046,0.6160,0.8157,0.0669,0.4126,0.8717,0.1422,0.8195,0.7290,0.1063,0.6577,0.0000,0.0000,3.1416,0.0000
0.0000,0.8415,0.1085,0.6208,0.8145,0.0719,0.4252,0.8685,0.1451,0.8163,0.7396,0.0741,0.4491,0.0000,0.0000,3.1416,0.0000
0.0000,0.8476,0.0928,0.6183,0.8213,0.0577,0.4186,0.8738,0.1279,0.8180,0.6991,0.1199,0.8089,0.0000,0.0000,3.1416,0.0000
0.0000,0.8620,0.1246,0.6195,0.8333,0.0882,0.4176,0.8906,0.1611,0.8214,0.7229,0.1196,0.6807,0.0000,0.0000,3.1416,1.0000
0.0000,0.8378,0.0375,0.6162,0.8093,0.0011,0.4121,0.8662,0.0739,0.8203,0.6897,0.0642,0.7213,0.0000,0.0000,3.1416,0.0000
0.0000,0.8502,0.1224,0.6175,0.8199,0.0858,0.4139,0.8805,0.1590,0.8212,0.7414,0.1486,0.4166,0.0000,0.0000,3.1416,0.0000
0.0000,0.8389,0.0904,0.6154,0.8079,0.0556,0.4126,0.8699,0.1253,0.8183,0.7206,0.0990,0.5308,0.0000,0.0000,3.1416,0.0000
1.0000,0.8435,0.1096,0.6191,0.8139,0.0736,0.4220,0.8730,0.1456,0.8162,0.7127,0.0894,0.6796,0.0000,0.0000,3.1416,1.0000
1.0000,0.8446,0.0952,0.6157,0.8156,0.0590,0.4106,0.8736,0.1313,0.8207,0.7224,0.0821,0.7089,0.0000,0.0000,3.1416,1.0000
1.0000,0.8392,0.1212,0.6160,0.8096,0.0847,0.4119,0.8688,0.1576,0.8200,0.7311,0.0897,0.7072,0.0000,0.0000,3.1416,1.0000
0.0000,0.8404,0.0948,0.6164,0.8097,0.0591,0.4159,0.8712,0.1305,0.8169,0.7301,0.1155,0.7872,0.0000,0.0000,3.1416,0.0000
0.0000,0.8400,0.0914,0.6167,0.8124,0.0574,0.4145,0.8677,0.1253,0.8189,0.6920,0.1235,0.7003,0.0000,0.0000,3.1416,0.0000
0.0000,0.8465,0.0919,0.6140,0.8168,0.0577,0.4106,0.8761,0.1262,0.8173,0.6975,0.1115,0.5026,0.0000,0.0000,3.1416,0.0000
0.0000,0.8540,0.0561,0.6129,0.8254,0.0217,0.4088,0.8826,0.0905,0.8169,0.7079,0.0236,0.4492,0.0000,0.0000,3.1416,0.0000
0.0000,0.8381,0.0622,0.6214,0.8083,0.0268,0.4213,0.8680,0.0976,0.8215,0.7011,0.0438,0.7214,0.0000,0.0000,3.1416,0.0000
0.0000,0.8572,0.0693,0.6157,0.8302,0.0321,0.4114,0.8842,0.1065,0.8200,0.7367,0.0341,0.4537,0.0000,0.0000,3.1416,0.0000
1.0000,0.8488,0.0714,0.6189,0.8214,0.0337,0.4197,0.8762,0.1091,0.8181,0.7119,0.0996,0.5022,0.0000,0.0000,3.1416,1.0000
0.0000,0.8489,0.0955,0.6173,0.8216,0.0592,0.4154,0.8761,0.1318,0.8193,0.7038,0.0629,0.7134,0.0000,0.0000,3.1416,0.0000
0.0000,0.8423,0.1233,0.6146,0.8129,0.0870,0.4128,0.8717,0.1596,0.8164,0.7091,0.1065,0.4594,0.0000,0.0000,3.1416,0.0000
1.0000,0.8480,0.0524,0.6130,0.8199,0.0184,0.4075,0.8762,0.0864,0.8185,0.7190,0.0588,0.5422,0.0000,0.0000,3.1416,1.0000
1.0000,0.8400,0.0700,0.6132,0.8093,0.0335,0.4114,0.8706,0.1065,0.8151,0.7159,0.0587,0.5814,0.0000,0.0000,3.1416,1.0000
0.0000,0.8335,0.0883,0.6122,0.8039,0.0537,0.4092,0.8632,0.1230,0.8151,0.7104,0.0597,0.6188,0.0000,0.0000,3.1416,0.0000
0.0000,0.8555,0.0553,0.6151,0.8267,0.0218,0.4085,0.8844,0.0888,0.8217,0.7554,0.0474,0.4823,0.0000,0.0000,3.1416,0.0000
0.0000,0.8395,0.0614,0.6164,0.8101,0.0269,0.4136,0.8690,0.0959,0.8193,0.7237,0.0597,0.4531,0.0000,0.0000,3.1416,0.0000
